province,city,nowConfirm,confirm,dead,heal,deadRate,healRate,addConfirm
新疆,兵团第九师,0,4,1,3,25.00,75.00,0
新疆,吐鲁番,0,3,0,3,0.00,100.00,0
新疆,第八师石河子,0,4,1,3,25.00,75.00,0
新疆,兵团第四师,0,10,1,9,10.00,90.00,0
新疆,伊犁州,0,18,0,18,0.00,100.00,0
新疆,六师五家渠,0,2,0,2,0.00,100.00,0
新疆,兵团第十二师,0,3,0,3,0.00,100.00,0
新疆,巴州,0,3,0,3,0.00,100.00,0
新疆,第七师,0,1,0,1,0.00,100.00,0
新疆,阿克苏,0,1,0,1,0.00,100.00,0
安徽,境外输入,0,3,0,3,0.00,100.00,0
安徽,阜阳,0,156,0,156,0.00,100.00,0
安徽,宣城,0,6,0,6,0.00,100.00,0
安徽,池州,0,17,0,17,0.00,100.00,0
安徽,亳州,0,108,0,108,0.00,100.00,0
安徽,六安,0,69,0,69,0.00,100.00,0
安徽,宿州,0,41,0,41,0.00,100.00,0
安徽,滁州,0,13,0,13,0.00,100.00,0
安徽,黄山,0,9,0,9,0.00,100.00,0
安徽,安庆,0,83,0,83,0.00,100.00,0
安徽,铜陵,0,29,0,29,0.00,100.00,0
安徽,淮北,0,27,0,27,0.00,100.00,0
安徽,马鞍山,0,38,0,38,0.00,100.00,0
安徽,淮南,0,27,0,27,0.00,100.00,0
安徽,蚌埠,0,160,5,155,3.12,96.88,0
安徽,芜湖,0,34,0,34,0.00,100.00,0
安徽,合肥,0,174,1,173,0.57,99.43,0
西藏,拉萨,0,1,0,1,0.00,100.00,0
贵州,境外输入,0,1,0,1,0.00,100.00,0
贵州,贵阳,0,36,1,35,2.78,97.22,0
贵州,遵义,0,32,0,32,0.00,100.00,0
贵州,六盘水,0,10,1,9,10.00,90.00,0
贵州,毕节,0,23,0,23,0.00,100.00,0
贵州,黔南州,0,17,0,17,0.00,100.00,0
贵州,安顺,0,4,0,4,0.00,100.00,0
贵州,黔东南州,0,10,0,10,0.00,100.00,0
贵州,铜仁,0,10,0,10,0.00,100.00,0
贵州,黔西南州,0,4,0,4,0.00,100.00,0
青海,海北州,0,3,0,3,0.00,100.00,0
青海,西宁,0,15,0,15,0.00,100.00,0
宁夏,境外输入,0,3,0,3,0.00,100.00,0
宁夏,银川,0,34,0,34,0.00,100.00,0
宁夏,吴忠,0,28,0,28,0.00,100.00,0
宁夏,固原,0,5,0,5,0.00,100.00,0
宁夏,中卫,0,3,0,3,0.00,100.00,0
宁夏,石嘴山,0,1,0,1,0.00,100.00,0
宁夏,宁东管委会,0,1,0,1,0.00,100.00,0
海南,境外输入,0,2,0,2,0.00,100.00,0
海南,三亚,0,55,1,54,1.82,98.18,0
海南,海口,0,39,0,39,0.00,100.00,0
海南,儋州,0,15,1,14,6.67,93.33,0
海南,东方,0,3,1,2,33.33,66.67,0
海南,万宁,0,13,0,13,0.00,100.00,0
海南,澄迈县,0,9,1,8,11.11,88.89,0
海南,昌江县,0,7,0,7,0.00,100.00,0
海南,保亭,0,3,0,3,0.00,100.00,0
海南,琼海,0,6,1,5,16.67,83.33,0
海南,临高县,0,6,0,6,0.00,100.00,0
海南,陵水县,0,4,0,4,0.00,100.00,0
海南,乐东,0,2,0,2,0.00,100.00,0
海南,文昌,0,3,0,3,0.00,100.00,0
海南,定安县,0,3,1,2,33.33,66.67,0
海南,琼中县,0,1,0,1,0.00,100.00,0
